enhancer	status	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41
brk_chrX_7215243_7217243	Twi14_2000	1523.9	20.25	4.91	0.895	1.1965	-1.9519128885	0.986	3847.71	2358.18	2630.93	6	6	-138.540774638	267	3.3660674095	2.8430867195	3.1426887512	2.7490310669	3.5202078819	3.8751306534	7.469039917	4.4353618622	2643.48	617.815	-704.086730004	-634.173214937	1246.45	-658.634837531	1	3	44.1378	1457.7	1824.45211149	1787.73521213	6015.28978841	1194.53427562	7440.06130166	7736.56432044	1295.14337281	1665.46	4820.10028976
rho_chr3L_1455443_1457443	Twi14_2000	196.8	3.74	-1.071117458	1.329	0.6235	-1.9519128885	0.95	3983.69	-10829.7231927	1197.06	9.1	6.833037336	-138.540774638	-92.1272047072	0.960226059	-0.6117277838	1.2243499756	2.2892861366	-0.8876096928	5.3181676865	0.9741687775	4.8958699703	1115.12	-51.654581424	964.85	-634.173214937	2583.86	-658.634837531	-0.3207914114	-0.2961448371	336.5458	1245.9	1548.26339928	2824.27011932	6284.30718804	995.696452511	7502.67051698	7401.18065504	861.771448664	863.317372881	6351.78830811
rho_chr3L_1462288_1464288	Twi14_2000	1180.8	15.59	4.66	1.12	1.972	-1.9519128885	1.411	-11421.256804	-10829.7231927	-1080.28955536	6	6.510090715	-138.540774638	320	1.7550730705	1.6685671806	2.2187271118	2.2661995888	4.7513985633	3.024261713	7.509973526	8.6446723938	-808.162744989	592.01	-704.086730004	-634.173214937	1415.38	1211.67	1	1	155.7504	1295.73	703.359432966	2746.18651104	6619.87998588	481.043360846	7502.67051698	2701.79329327	746.569297842	572.221507197	6351.78830811
rho_chr3L_1478483_1480483	Twi14_2000	939.9	5.58	-1.071117458	1.132	0.9955	-1.9519128885	0.604	1270.21	-10829.7231927	1221.99	5.7	0.665540217	-138.540774638	268	-0.5039210594	-0.6117277838	2.0273084641	2.3538818359	1.7419157028	3.2459259033	0.6614842415	4.0127267837	-808.162744989	-51.654581424	-704.086730004	1226.48	-1098.73702073	-658.634837531	-0.3207914114	-0.2961448371	133.1106	-784.212239968	1363.19633782	2708.04765886	6619.87998588	465.918624161	7760.00971227	7976.13758509	385.988693467	106.361910242	6351.78830811
sog_chrX_15501400_15503400	Twi14_2000	1715.6	10.9	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	-11421.256804	-10829.7231927	1259.38	6	-1.7120711804	-138.540774638	205	-0.5039210594	1.7501754761	2.1232318878	-0.583052405	-0.8876096928	2.5326480866	2.0628595352	3.9735507965	-808.162744989	-51.654581424	-704.086730004	3172.79	2609.85	3260.9	1	1	22.5458	-784.212239968	1227.77511457	3880.71244015	6806.85709838	2075.69845065	7253.88801742	7457.30105749	1208.17099177	1995.52941576	5839.20188732
sog_chrX_15517994_15519994	Twi14_2000	1783.1	8.78	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	1381.47	1067.63	-1080.28955536	6	4.920818754	-138.540774638	-92.1272047072	2.3189630508	2.1325831413	1.8096175194	2.7541308403	1.6367964745	-0.8697067211	4.7460870743	3.5519070625	5825.41	500.355	4335.24	1690.1	4532.03	1512.67	-0.3207914114	1	151.4775	-784.212239968	1372.23202989	1041.28318933	5687.28574243	301.900794465	7253.88801742	7457.30105749	659.106625259	425.125479846	6019.9122807
sog_chrX_15540021_15542021	Twi14_2000	3288.8	28.88	6.85	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	3921.87	1117.17	-1080.28955536	6	6	429	223	2.5759067535	3.9179930687	2.9135022163	3.2103228569	1.9363908767	3.0505275726	6.4992985726	8.6422290802	3783.63	441.975	-704.086730004	5479.34	1415.38	4132.3	1	1	687.16	2616.38	1630.12827683	1437.57589455	4779.2591419	247.20309973	6841.84045881	4172.74826542	302.251836969	588.386223862	4570.25180558
sna_chr2L_15457089_15459089	Twi14_2000	94.4	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	0.57	-11421.256804	-10829.7231927	-1080.28955536	5.4	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	-0.9472463599	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	-1.6743389457	-808.162744989	-51.654581424	1328	-634.173214937	3077.66	-658.634837531	-0.3207914114	-0.2961448371	106.495	1121.31	2458	3295.62137521	6454.52403393	1708.32194149	7875.14849068	8136.29166337	1225.95719668	1138.7	6541.68586449
sna_chr2L_15469966_15471966	Twi14_2000	472.6	6.62	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	1.257	-11421.256804	1216.25	-1080.28955536	4.19	5.397940009	-138.540774638	-92.1272047072	-0.5039210594	1.7355837822	1.3777382374	-0.583052405	-0.8876096928	4.306289196	-0.5370195267	4.3556520939	-808.162744989	211.04	1315.48	-634.173214937	1246.45	-658.634837531	-0.3207914114	1	120.356	1245.9	2213.71096394	3108.9918774	6454.52403393	983.43616246	7875.14849068	8136.29166337	1461.27412961	732.134355346	6693.51545041
sna_chr2L_15474419_15476419	Twi14_2000	450.2	4.28	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	-11421.256804	-10829.7231927	1334.16	2.64	3.156767222	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	0.7820124626	1.8253712654	5.3072600365	-0.8697067211	0.9258813858	1.4956183433	-808.162744989	-51.654581424	-704.086730004	-634.173214937	2791.77	-658.634837531	-0.3207914114	1	-59.2812955354	-784.212239968	2073.70053763	3417.52949401	6454.52403393	1594.42959237	7875.14849068	8136.29166337	1204.23443008	591.953763138	6852.34391167
sna_chr2L_15478298_15480298	Twi14_2000	4142.9	15.83	4.39	2.418	0.5625	0.828	2.436	8165.18	-10829.7231927	1184.6	6	10.958607315	-138.540774638	317	2.4068827629	2.6142411232	2.7501630783	2.472032547	3.391523838	2.7403459549	6.1350650788	8.9790687561	6589.9	517.935	-704.086730004	2916.58	1220.46	1852.93	-0.3207914114	2	414.475	1158.68	2201.36872293	3200.4259656	6454.52403393	1449.20878879	7875.14849068	7920.11132996	1796.7815622	1415.9346243	6991.53312303
sna_chr2L_15481188_15483188	Twi14_2000	1013.2	23.03	-1.071117458	1.538	1.3805	-1.9519128885	3.65	-11421.256804	1117.17	1259.38	12	5.397940009	-138.540774638	289	-0.5039210594	-0.6117277838	2.7501630783	-0.583052405	3.0588431359	-0.8697067211	4.398065567	8.9790687561	-808.162744989	245.875	-704.086730004	1482.69	-1098.73702073	1499.58	1	1	154.74	-784.212239968	2189.99319364	2299.40821595	6454.52403393	1257.25697716	7875.14849068	7856.64474501	1299.33977271	843.653416955	6991.53312303
sna_chr2L_15485422_15487422	Twi14_2000	3502.8	14.85	4.28	1.26	1.7065	-1.9519128885	0.716	3822.98	-10829.7231927	2568.62	6	6	-138.540774638	-92.1272047072	0.6955165863	2.4746322632	2.6046538353	2.7415151596	4.1850023269	4.7911396026	5.968585968	10.0035476685	1227.82	404.525	2205.19	2977.58	2778.78	1565.01	1	1	2343.178	2367.21	1340.33993069	2758.3073044	6454.52403393	1291.57599703	7875.14849068	7856.64474501	925.1582703	738.005406835	6268.75545036
sna_chr2L_15490665_15492665	Twi14_2000	272.4	7.8	4.58	0.47	0.9485	-1.9519128885	0.83	1245.48	1241.02	-1080.28955536	6	5.698970004	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	2.5323624611	1.9499082565	3.2237820625	3.2607693673	1.8585879803	6.1870694161	2969.06	201.62	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	1	210.7134	-784.212239968	1892.96549205	3246.39399162	6454.52403393	987.1	7721.15988868	7856.64474501	1227.9	1065.37557692	6262.10778613
sna_chr2L_15498509_15500509	Twi14_2000	62.4	4.03	-1.071117458	-0.942	-4.1990460938	-1.9519128885	-0.348	3847.7	-10829.7231927	1234.45	3.07	-1.7120711804	424	-92.1272047072	-0.5039210594	-0.6117277838	2.5117015839	-0.583052405	-0.8876096928	1.8282928467	-0.5370195267	1.4537053108	-808.162744989	276.57	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	1	59.0396	1582.29	467.674789338	720.214171817	6454.52403393	234.410973282	7721.15988868	7808.4922955	69.555831608	231.375	5508.7172461
vnd_chrX_469502_471502	Twi14_2000	383.3	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	0.519	-2.826286439	-11421.256804	-10829.7231927	3815.53	4.21	1.326803935	-138.540774638	279	-0.5039210594	-0.6117277838	2.0403490067	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	2.7379083633	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	-0.2961448371	-59.2812955354	1320.65	2341.70233	3049.40517845	6920.3050965	1305.62553648	8105.25263541	8201.14658828	1114.89319066	2394.10861042	5575.75897127
vnd_chrX_477282_479282	Twi14_2000	308.3	7.98	3.79	0.822	1.46	1.18	0.53	2503.33	1141.94	1296.77	6	0.63344444	-138.540774638	-92.1272047072	2.0105030537	1.7905106544	3.2515902519	2.4302349091	2.8563499451	1.0048112869	4.6145443917	9.0043721199	1578.45	264.005	1127.64	1214.28	3908.28	-658.634837531	-0.3207914114	-0.2961448371	103.5576	-784.212239968	2007.97284768	1344.2264055	6119.38110749	1081.2	8058.14830939	8201.14658828	1198.52291667	877.1	5575.75897127
vnd_chrX_481427_483427	Twi14_2000	322	5.34	-1.071117458	-2.1997145519	-0.83	-1.9519128885	-2.826286439	2614.59	-10829.7231927	1284.31	-1.8820256979	-1.7120711804	-138.540774638	286	-0.5039210594	-0.6117277838	3.2515902519	-0.583052405	-0.8876096928	2.0129971504	0.6587297916	9.0043721199	-808.162744989	-51.654581424	-704.086730004	-634.173214937	1298.43	-658.634837531	-0.3207914114	1	188.3389	-784.212239968	1616.45685841	1523.34347826	6119.38110749	1109.7	7830.25621975	8201.14658828	1061.0546875	978.740530094	5575.75897127
vnd_chrX_486106_488106	Twi14_2000	2382.1	10.05	3.78	0.629	0.0755	1.432	0.948	6437.57	-10829.7231927	1321.7	6	6	-138.540774638	286	3.4710812568	1.7364516258	3.2515902519	2.208568573	1.8726758957	2.5656886101	7.4852190018	9.0043721199	2856.35	478.045	-704.086730004	4204.06	-1098.73702073	1787.49	-0.3207914114	1	580.224	1320.65	1890.54919957	2497.84380752	6119.38110749	971.792750929	8188.12961498	8201.14658828	1234.40559312	875.945328467	5575.75897127
vnd_chrX_488828_490828	Twi14_2000	893	3.55	-1.071117458	-2.1997145519	-1.191	-1.9519128885	0.349	1183.67	-10829.7231927	1483.72	-1.8820256979	6	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	3.2515902519	-0.583052405	-0.8876096928	0.9837355614	-0.5370195267	2.8075060845	1641.06	-51.654581424	-704.086730004	1482.69	-1098.73702073	1656.62	-0.3207914114	-0.2961448371	39.8725	-784.212239968	2608.33714031	1622.04652928	6367.75172703	906.841965271	8188.12961498	8201.14658828	1609.37224594	1714.60779284	5575.75897127
Kr_chr2R_21086528_21088528	Twi14_2000	200.8	5.66	-1.071117458	0.86	1.4565	-1.874	0.555	-11421.256804	-10829.7231927	-1080.28955536	-1.8820256979	-1.7120711804	634	-92.1272047072	-0.5039210594	-0.6117277838	0.9319572449	-0.583052405	2.6504626274	3.8109850883	-0.5370195267	3.0016980171	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	1	-0.2961448371	5.28782	-784.212239968	1618.04933472	1928.91767656	4611.10354086	895.550841746	7284.88292011	7334.93767313	973.078480242	502.843963987	4873.24812208
Kr_chr2R_21090387_21092387	Twi14_2000	264.9	4.46	-1.071117458	0.546	0.2805	-0.391	1.732	-11421.256804	-10829.7231927	-1080.28955536	9.7	2.228412519	-138.540774638	373	-0.5039210594	-0.6117277838	0.783987999	-0.583052405	1.0708417892	-0.8697067211	-0.5370195267	3.7447757721	-808.162744989	-51.654581424	-704.086730004	1287.48	-1098.73702073	1368.71	1	-0.2961448371	29.5238	1358.03	1975.23496835	1959.15585697	5055.72640589	834.393846709	6973.86825305	6256.10542693	967.496638655	882.849708029	5035.54896775
Kr_chr2R_21092929_21094929	Twi14_2000	93.8	4.67	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	0.972	1294.93	1092.4	-1080.28955536	5.7	8.911155437	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	0.783987999	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	3.7447757721	-808.162744989	-51.654581424	-704.086730004	-634.173214937	1220.46	-658.634837531	1	-0.2961448371	36.668	1245.9	2000.61781173	2820.95791837	5547.02058337	628.85020284	6973.86825305	7130.47846449	971.961389144	891.748386017	5776.13929381
Kr_chr2R_21098567_21100567	Twi14_2000	244.3	-4.0490342687	-1.071117458	-2.1997145519	0.9975	-1.9519128885	0.622	1233.12	-10829.7231927	-1080.28955536	-1.8820256979	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	-0.9472463599	-0.583052405	1.7447700501	-0.8697067211	-0.5370195267	2.5015907288	-808.162744989	-51.654581424	-704.086730004	1287.48	-1098.73702073	1224.75	1	-0.2961448371	17.7766	-784.212239968	1519.23662134	2273.27317194	5289.58021174	765	6736.26367691	6132.83027424	832.272222222	678.417352614	4559.98617891
Kr_chr2R_21101751_21103751	Twi14_2000	533.7	-4.0490342687	-1.071117458	-2.1997145519	0.5755	-1.9519128885	1.748	-11421.256804	-10829.7231927	2680.79	1.85	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	1.3350372314	-0.583052405	1.9854741097	-0.8697067211	-0.5370195267	2.1718735695	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	1	-0.2961448371	46.3879	1345.57	2388.55057088	2397.78277311	5061.01928854	1027.80286944	7304.91594373	7088.98067074	1010.53852621	1227.32581486	5579.69331205
Kr_chr2R_21105753_21107753	Twi14_2000	227.7	-4.0490342687	-1.071117458	1.204	0.397	-1.9519128885	0.754	-11421.256804	1216.25	-1080.28955536	6	5.22184875	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	0.8617696762	2.2226638794	1.7369122505	-0.8697067211	0.777780056	1.8277263641	2505.73	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	1	-0.2961448371	23.84182	2529.17	2000.14939516	2176.02608128	5259.37223696	852.6	7304.91594373	7501.08213997	703.5	415.748930425	5359.05480357
Kr_chr2R_21109700_21111700	Twi14_2000	2441	9.09	4.49	1.206	4.4085	1.753	0.929	3736.44	-10829.7231927	1172.13	6	2.177505015	-138.540774638	293	5.3699207306	3.1689620018	2.6296253204	3.2632937431	8.0693802833	2.2767724991	1.0676422119	2.8325824738	2706.09	198.906008	-704.086730004	7108.44	-1098.73702073	6673.42	1	1	-59.2812955354	1345.57	1968.82516089	2119.83410581	6029.03388717	995.955	7304.91594373	7819.44574187	925.20678392	960.763325158	6392.0920216
Kr_chr2R_21113327_21115327	Twi14_2000	1889.5	15.42	5.79	1.641	4.4085	-1.9519128885	1.227	1196.03	-10829.7231927	-1080.28955536	-1.8820256979	-1.7120711804	-138.540774638	395	0.7087726593	3.1689620018	2.6296253204	3.2632937431	8.0693802833	3.7404403687	-0.5370195267	3.8622162342	-808.162744989	278.935	-704.086730004	1421.69	-1098.73702073	1303.28	1	-0.2961448371	45.0324	1121.31	2744.16948544	3085.15813668	6246.72412613	1472.55513331	7304.91594373	7819.44574187	1105.65319516	1500.20685792	6530.34773446
Kr_chr2R_21119211_21121211	Twi14_2000	131.6	-4.0490342687	-1.071117458	-0.164	0.1505	-1.9519128885	0.235	-11421.256804	-10829.7231927	-1080.28955536	-1.8820256979	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	0.8729553223	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	1.7915358543	1115.12	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	1303.28	-0.3207914114	-0.2961448371	5.28782	-784.212239968	2185.78364147	2079.84535647	5847.18453051	525.640612648	5781.69417427	5203.44694595	849.55	820.95	5181.50217742
hb_chr3R_4501573_4503573	Twi14_2000	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	2639.31	1179.09	1197.06	-1.8820256979	0.824149117	693	-92.1272047072	-0.5039210594	-0.6117277838	0.7119007111	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	1.2522606849	-808.162744989	-51.654581424	1302.95	1421.69	1402.39	1447.23	1	-0.2961448371	-59.2812955354	-784.212239968	2736.91102421	3272.24999519	6971.19697916	1883.20347362	8048.95349165	8154.40045627	2253.13133271	2072.81740712	7041.70091743
hb_chr3R_4510669_4512669	Twi14_2000	148.2	-4.0490342687	-1.071117458	0.071	1.2865	-1.9519128885	0.228	-11421.256804	-10829.7231927	1359.09	3.79	5.15490196	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	1.1182346344	-0.583052405	5.8691864013	-0.8697067211	-0.5370195267	3.762157917	-808.162744989	-51.654581424	1065.03	-634.173214937	1246.45	-658.634837531	-0.3207914114	-0.2961448371	-59.2812955354	2703.6	2227.24822846	2689.33249939	6971.19697916	804.080979983	8048.95349165	8154.40045627	623.041166968	875.830757342	7041.70091743
hb_chr3R_4519356_4521356	Twi14_2000	2296.3	7.67	3.4	0.947	2.1135	2.303	1.44	2552.78	-10829.7231927	-1080.28955536	5.1	0.422339341	-138.540774638	436	5.1933445931	1.8048601151	2.1705150604	2.5375771523	4.481754303	3.6396965981	1.0447964668	2.4235029221	-808.162744989	219.64	-704.086730004	1482.69	-1098.73702073	2881.38	1	1	-59.2812955354	2603.92	2859.63470082	3958.50117096	7347.4450471	2086.0111821	8048.95349165	8421.60180466	2192.18183275	2653.27746623	7041.70091743
hb_chr3R_4524645_4526645	Twi14_2000	4601.6	21.24	19.01	3.969	4.5225	3.626	1.908	-11421.256804	-10829.7231927	-1080.28955536	12	11.698970004	586	405	6.7940149307	3.6134037972	2.4953112602	4.0608277321	8.8424143791	4.236954689	2.6187095642	4.6827578544	-808.162744989	378.22	-704.086730004	2770.17	1441.37	2658.9	1	2	-59.2812955354	-784.212239968	1846.12879884	1903.48408747	7326.88391039	737.630557014	8048.95349165	8194.06224406	840.131354396	845.704733456	6872.27454801
hb_chr3R_4541044_4543044	Twi14_2000	62.9	-4.0490342687	-1.071117458	-2.1997145519	-0.1355	-1.9519128885	-2.826286439	-11421.256804	2184.8	1209.53	-1.8820256979	4.113509275	574	-92.1272047072	-0.5039210594	-0.6117277838	1.4501132965	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	2.2973980904	-808.162744989	-51.654581424	1942.22	-634.173214937	2869.74	-658.634837531	1	-0.2961448371	-59.2812955354	-784.212239968	2214.96871169	1972.20468301	6591.58061292	1467.72459759	7847.52209365	2612.83320296	1716.54507305	2003.41506959	6452.92382878
Kni_chr3L_20680123_20682123	Twi14_2000	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	1492.73	-10829.7231927	-1080.28955536	3.81	4.698970004	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	0.398140192	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	1.7439160347	1616.01	-51.654581424	-704.086730004	-634.173214937	1636.29	-658.634837531	-0.3207914114	-0.2961448371	62.3927	-784.212239968	2905.34170937	3969.91869634	7003.35313842	1026.43997735	8021.36694375	8244.44280986	966.118889167	1865.68712068	7168.28253903
Kni_chr3L_20687916_20689916	Twi14_2000	1533.8	19.39	15.28	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	2416.79	-10829.7231927	1296.77	12	3.669586227	-138.540774638	-92.1272047072	6.700129032	3.6492362022	2.292719841	6.6948513985	8.0429306031	4.6274380684	1.4469242096	5.7935285568	1127.64	332.21	-704.086730004	1287.48	1337.41	-658.634837531	1	1	34.2753	-784.212239968	1926.66965729	3086.016724	7003.35313842	820.225159915	8021.36694375	8129.14841329	742.248829431	1063.79818568	7168.28253903
Kni_chr3L_20692060_20694060	Twi14_2000	161.9	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	3822.98	2321.03	-1080.28955536	6	6	-138.540774638	-92.1272047072	4.0731048583	-0.6117277838	2.292719841	2.2336821556	8.0429306031	-0.8697067211	2.9914374352	5.7935285568	1115.12	298.14	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	-0.2961448371	151.7965	1133.76	1831.41626674	3715.17792059	6479.41463943	807.771476938	8021.36694375	8129.14841329	968.558057295	676.36393497	7168.28253903
Kni_chr3L_20707777_20709777	Twi14_2000	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	2577.49	-10829.7231927	1508.65	-1.8820256979	0.925348096	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	-0.9472463599	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	1.916326046	1115.12	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	-0.2961448371	65.5225	1245.9	1459.8207177	2773.88398186	6276.23980978	664.9	7681.00942655	7938.95557288	738.8	1019.1297153	6682.93916107
eve_chr2R_5842247_5844247	Twi14_2000	443.3	-4.0490342687	-1.071117458	-0.634	0.2345	-1.9519128885	-0.059	1183.67	2543.96	-1080.28955536	-1.8820256979	1.165407647	-138.540774638	245	-0.5039210594	-0.6117277838	2.0740456581	-0.583052405	-0.8876096928	1.1361093521	-0.5370195267	1.5416517257	-808.162744989	-51.654581424	-704.086730004	1202.08	-1098.73702073	1355.62	-0.3207914114	-0.2961448371	24.0504	-784.212239968	1809.38372312	2519.83358231	6563.12941052	577.544127786	7719.68646523	8032.83635284	778.7	744.756779661	6481.66924547
eve_chr2R_5846563_5848563	Twi14_2000	1096.1	7.27	-1.071117458	-2.1997145519	-4.1990460938	-0.084	-2.826286439	-11421.256804	1129.55	2655.86	5.52	6	445	276	-0.5039210594	2.0320448875	1.6629595757	-0.583052405	-0.8876096928	0.8006157875	-0.5370195267	6.3757476807	1252.86	-51.654581424	977.37	3111.79	1207.46	4236.99	-0.3207914114	1	607.572	-784.212239968	1854.48	2438.05	6563.12941052	1339.1	7572.8389747	8032.83635284	1993.07190751	1287.56045694	6481.66924547
eve_chr2R_5855600_5857600	Twi14_2000	263.2	4.93	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	1220.76	2296.27	1595.89	2.94	0.605917977	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	1.4937591553	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	2.0012292862	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	2	-0.2961448371	110.6042	-784.212239968	1809.28044724	1807.47813521	4597.10183023	885.030926281	7098.81830397	7267.04222353	1005.33422509	1341.51707317	4819.26598066
eve_chr2R_5862817_5864817	Twi14_2000	2411.2	19.14	12.78	2.345	2.5665	1.874	3.624	2552.77	-10829.7231927	-1080.28955536	9.31	8.48020767	-138.540774638	327	4.0011930465	3.5246582031	3.2372131348	3.5642366409	5.4760446549	4.2505507469	1.2807655334	4.3737397194	-808.162744989	338.67	-704.086730004	2623.77	-1098.73702073	1407.97	-0.3207914114	2	24.6196	-784.212239968	1995.52057314	2384.85112026	6665.76848719	721.007948167	7898.46008799	7111.93149195	889.82930739	747.130690995	6318.08324589
eve_chr2R_5872125_5874125	Twi14_2000	1678.5	18.16	16.05	1.444	2.7485	2.908	1.762	-11421.256804	1080.02	-1080.28955536	9.19	5.698970004	-138.540774638	356	5.1280155182	3.1938204765	3.2372131348	4.9500117302	6.8817224502	2.3369684219	2.4342827797	3.1451406479	-808.162744989	162.51	-704.086730004	-634.173214937	1233.45	1460.32	-0.3207914114	2	79.1591	-784.212239968	2782.83040489	3126.53059868	6665.76848719	1514.05515464	8127.17444239	8810.5062274	1383.59783574	1001.40482686	7367.05031725
eve_chr2R_5875527_5877527	Twi14_2000	-488.754195154	4.52	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	1245.48	-10829.7231927	1197.06	-1.8820256979	4.040958608	366	-92.1272047072	-0.5039210594	-0.6117277838	3.2372131348	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	-1.6743389457	-808.162744989	351.135	1077.55	-634.173214937	2830.76	-658.634837531	1	1	-59.2812955354	-784.212239968	929.8	810.45	6665.76848719	510.705596107	8127.17444239	7680.02178658	558.05	527.387279152	6688.91257996
brk_chrX_7180238_7180738	Twi14_500	84.7	-4.0490342687	-1.071117458	1.099	1.4865	-1.9519128885	0.651	-11421.256804	-10829.7231927	-1080.28955536	-1.8820256979	1.385609053	318	-92.1272047072	-0.5039210594	-0.6117277838	1.7323923111	2.6170692444	2.2740426063	-0.8697067211	-0.5370195267	0.563501358	-808.162744989	213.945	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	-0.2961448371	-59.2812955354	-784.212239968	-1139.58433113	798.831063321	4256.37611422	338.516260623	7467.23997238	6870.86553323	-1037.43985583	-1219.43692574	5988.0441447
brk_chrX_7185044_7185544	Twi14_500	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	0.6515	-1.9519128885	-2.826286439	1282.57	-10829.7231927	-1080.28955536	0.54	2.072989131	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	2.5519652367	-0.583052405	0.6447529793	-0.8697067211	-0.5370195267	-1.6743389457	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	1	1	-59.2812955354	-784.212239968	708.470576627	643.035796928	5437.30979041	135.274385965	7467.23997238	7079.52082145	293.029069767	158.529949239	5679.98604083
brk_chrX_7188236_7188736	Twi14_500	641.2	6.94	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	-11421.256804	-10829.7231927	-1080.28955536	3.89	4.769551079	-138.540774638	220	-0.5039210594	1.6244683266	2.5519652367	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	3.5120248795	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	2	-0.2961448371	-59.2812955354	-784.212239968	444.51789543	763.893551676	5437.30979041	392.910158014	7467.23997238	7158.34641484	-1037.43985583	136.524731183	5219.9047619
brk_chrX_7190795_7191295	Twi14_500	1326.6	32.99	4.8	1.747	1.5845	1.185	1.021	3934.25	-10829.7231927	-1080.28955536	6	6	-138.540774638	212	3.0830516815	3.6291837692	2.5519652367	2.8587055206	3.9246501922	-0.8697067211	5.6250081062	7.1214060783	2781.23	427.91	-704.086730004	-634.173214937	-1098.73702073	1290.19	-0.3207914114	1	215.413	-784.212239968	3003.3526971	1618.40477064	5437.30979041	1754.50589556	7467.23997238	7604.61040712	1798.1	1345.44287548	4856.14630468
brk_chrX_7191968_7192468	Twi14_500	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	-11421.256804	-10829.7231927	1296.77	0.71	6	-138.540774638	212	3.0830516815	3.6291837692	2.5519652367	2.8587055206	1.8016719818	-0.8697067211	5.6250081062	7.1214060783	-808.162744989	427.91	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	-0.2961448371	-59.2812955354	-784.212239968	554.062921348	236.708160535	5874.26923453	-1515.74191661	7467.23997238	7604.61040712	-1037.43985583	577.2	5657.21290816
