enhancer	status	AP	DV	A	C	P	Ectoderm	Endoderm	Mesoderm	Zelda180	Eisen2010_Caudal	Eisen2010_Knirps	Eisen2013_Giant	Eisen2013_Hunchback	Eisen2013_Bicoid	Eisen2013_Kruppel	Furlong_Snail	Furlong_Twist	KK_H3K27ac	KK_H3K4me1	MacArthur_Bicoid	MacArthur_Caudal	MacArthur_Giant	MacArthur_Hunchback	MacArthur_Hairy	MacArthur_Snail	MacArthur_Twist	MacArthur_Dorsal	Rushlow_Dorsal	White_H3K27ac	Zeitlinger1_Twist
Kvon2014_chr2R_5861246_5863407	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	1134.3	19.14	12.78	2.57	2.5665	0	2.5665	9.13	8.48020767	0	327	0	3.5246582031	3.5642366409	5.4760446549	2.4180436134	0.547940588	2.025248191	5.62872202	158.255	0	213.897
Kvon2014_chr2R_5862739_5864868	on	CP	Ectoderm/Mesoderm	off	on	on	on	off	on	2411.2	19.14	12.78	2.345	2.5665	1.874	2.5665	9.31	8.48020767	0	327	4.0011930465	3.5246582031	3.5642366409	5.4760446549	4.2505507469	1.097770035	2.025248191	6.178551467	338.67	0	68.1977
Kvon2014_chr2R_5869684_5871848	on	CP	Ectoderm/Mesoderm	off	on	on	on	off	on	661.8	18.16	16.05	0	2.7485	0	2.7485	3.19	5.698970004	0	356	0	3.1938204765	1.8405785561	6.8817224502	4.0464177132	0	2.32459004	5.380123281	103.08	1	0
Kvon2014_chr2R_5871167_5873296	on	CP	Ectoderm/Mesoderm	off	on	on	on	off	on	1355.2	18.16	16.05	1.444	2.7485	2.908	2.7485	9.19	5.698970004	0	356	5.1280155182	3.1938204765	4.9500117302	6.8817224502	4.5508790016	1.370927698	2.32459004	6.751050979	265.59	1	33.3501
Kvon2014_chr2R_5872688_5874770	on	AP	Ectoderm/Mesoderm	on	off	on	on	off	on	1664.8	18.16	16.05	1.444	2.7485	2.908	2.7485	6	0	0	356	5.1280155182	3.1938204765	3.1094331741	6.8817224502	2.3369684219	2.184080061	1.463205934	6.702819236	162.51	0	79.1591
Kvon2014_chr2R_6245887_6248058	on	AP	Ectoderm/Endoderm/Mesoderm	on	off	on	on	on	on	0	0	0	0	0	-0.602	0	0	0	0	0	0	0	0	0	0	0	0.820272326	0.820272326	0	0	0
Kvon2014_chr2R_6351270_6353703	on	C	Ectoderm/Mesoderm	off	on	off	on	off	on	1446.8	3.68	0	-0.749	0	0	0	0	0	560	303	0	1.5672821999	0	2.2778506279	0	0	0.609542402	1.909752461	0	0	0
Kvon2014_chr2R_7069850_7071967	on	A	Ectoderm/Mesoderm	on	off	off	on	off	on	3355.8	14.23	0	0.339	0	0	0	2.82	0	0	372	0	1.6059322357	0	0	0.7157402039	0	3.787161212	5.705861013	178.124444	1	46.1259
Kvon2014_chr2R_7078363_7080511	on	ACP	Ectoderm	on	on	on	on	off	off	2786	19.92	3.64	0	0	0	0	6	6	0	296	3.7419977188	3.0365710258	3.0869951248	1.6647224426	3.2618453503	2.753141459	2.673884616	7.915423814	501.725	1	78.61454
Kvon2014_chr2R_7086913_7089020	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	536	14.13	6.96	0	0	0	0	6	6	527	296	2.8835783005	2.4127883911	3.1021499634	2.8913526535	4.0077171326	0.999844909	2.751159102	6.738625374	235.785	1	502.873
Kvon2014_chr2R_7419436_7421535	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	76.7	5.99	0	0.855	0.2425	0.723	0.2425	6	5.698970004	0	0	0	0	0	0	4.8453660011	1.004246487	2.140117842	4.202731105	0	0	226.818
Kvon2014_chr2R_7422999_7425114	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	74.9	4.57	0	0.549	0	0	0	11.4	0	0	0	0	0	0	0	7.6031599045	0	1.734149625	2.17522265	0	0	96.7684
Kvon2014_chr2R_8500209_8502359	on	A	Ectoderm	on	off	off	on	off	off	0	4.81	0	0	-0.0975	0	-0.0975	1.15	0	398	0	0	0	0	0	0.8805704117	0	3.214322708	4.607188338	123.6	0	0
Kvon2014_chr2R_8665547_8668087	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	1728.2	25.96	3.48	1.797	1.3555	0.798	1.3555	12	8.538051505	1135	304	1.7089886665	1.7610855103	0	7.9810318947	7.5049347879	3.608141643	5.67217403	11.798525872	0	1	740.713
Kvon2014_chr2R_9109456_9111773	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	1054.9	5.22	0	0	0.618	0	0.618	6	6	470	347	0	0	0	2.2688522339	1.9577102661	2.520279854	4.089687758	9.056475543	0	1	168.6814
Kvon2014_chr2R_9465978_9468385	on	A	Mesoderm	on	off	off	off	off	on	66.9	0	0	0.356	-1.0985	1.139	-1.0985	6	4.958607315	0	0	2.1045193672	0	0	0	0	0	0.69652462	1.476969808	98.645	0	62.9844
Kvon2014_chr2R_9505005_9507128	on	AP	Ectoderm/Mesoderm	on	off	on	on	off	on	238	15.03	0	0.161	0.0415	0	0.0415	6	0	0	431	0	1.9245052338	0	0	0	0	3.795399674	6.46434842	172.76	1	0
Kvon2014_chr3L_1081346_1083449	on	P	Endoderm	off	off	on	off	on	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.21872291	2.670878053	0	0	0
Kvon2014_chr3L_11227809_11228560	on	A	Endoderm	on	off	off	off	on	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.648214728	1.648214728	0	1	0
Kvon2014_chr3L_1167709_1169803	on	P	Endoderm	off	off	on	off	on	off	0	10.75	0	0	0	0	0	5	4.744727495	0	0	0	1.987388134	0	0.8164668083	0	0	2.742284745	4.462504745	0	1	112.934
Kvon2014_chr3L_12641178_12643551	on	AC	Ectoderm	on	on	off	on	off	off	1239.7	13	3.28	0.562	1.7775	0	1.7775	6	2.527975302	0	0	0	1.8916797638	2.1938958168	3.2803149223	0.6129808426	0	5.077899775	7.553206167	0	0	30.3674
Kvon2014_chr3L_12669013_12671112	on	A	Endoderm/Mesoderm	on	off	off	off	on	on	294.6	7.64	0	1.458	-0.5355	0.454	-0.5355	6	6	0	0	1.147799015	1.5230507851	2.4561200142	0	1.1766774654	0.681121707	6.862400512	8.528079259	0	0	722.2443
Kvon2014_chr3L_12675922_12678012	on	A	Endoderm	on	off	off	off	on	off	133.9	0	0	0.318	0	0.611	0	6	5.698970004	0	0	0	0	0	0	0	0.628173548	3.179653406	4.720517958	0	0	33.15482
Kvon2014_chr3L_13400881_13403078	on	A	Ectoderm/Mesoderm	on	off	off	on	off	on	4512.5	15.01	0	0	1.3385	0	1.3385	5.52	5.22184875	0	227	0	1.7332253456	1.7578873634	3.1970291138	5.4933569431	0.932000399	2.533660859	5.467977971	0	1	424.76
Kvon2014_chr3L_14145618_14147694	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	2575.5	21.82	10.71	1.961	3.07	2.25	3.07	6	6	0	218	4.6308660507	3.5461864471	3.3906824589	5.7837605477	6.5741524696	2.382359729	4.774441887	10.352882665	541.265	0	118.285
Kvon2014_chr3L_14161383_14163487	on	ACP	Mesoderm	on	on	on	off	off	on	0	0	0	0.621	0	0	0	0	1.491591496	0	0	0	0	0	0	2.9748888016	0	2.394980722	2.758434855	0	0	0
Kvon2014_chr3L_14164856_14166985	on	CP	Ectoderm/Mesoderm	off	on	on	on	off	on	1501.1	23.95	7.06	1.293	3.4305	2.409	3.4305	5.52	6	0	0	5.2469120026	3.6351728439	2.3399295807	6.5580139161	0	0.770756006	2.721720103	5.453074339	323.53	1	7.81176
Kvon2014_chr3L_14177506_14179749	on	CP	Ectoderm	off	on	on	on	off	off	335.8	19.54	0	0	0	0	0	4.85	2.0910327	0	0	0	3.356995821	2.1687192917	0.8965501785	0	0.723519325	0.876916945	2.778017848	144.305	0	0
Kvon2014_chr3L_1461311_1463834	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	992	15.59	4.66	1.12	1.972	0	1.972	6	6.510090715	0	320	1.7550730705	1.6685671806	2.2661995888	3.3188943862	3.024261713	6.78085604	5.804787642	14.809970197	654.265	1	258.2924
Kvon2014_chr3L_15322214_15324305	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	0	6.16	0	0	0.5615	0	0.5615	5.4	5.301029996	0	0	0	0	0	0	2.0351381302	0	1.7520688	3.399936339	0	1	88.61612
Kvon2014_chr3L_16036410_16038639	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	910.8	0	0	0	0	0	0	11.3	3.785156152	514	384	0	1.9797444344	1.8157110214	5.2259187698	0.9850406647	0	1.692422152	4.246388282	0	0	66.1287
Kvon2014_chr3L_16041647_16043743	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	1790.5	0	0	0	0	0	0	7.67	11.397940009	581	384	0	1.6544981003	0	0.7559776306	4.15218544	0	2.657707972	5.211674102	474.825	1	40.4012
Kvon2014_chr3L_16106157_16107712	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	5180.1	0	0	0	0.8275	0.743	0.8275	6	5.15490196	391	325	1.7516117096	1.9948301315	0	1.9931869507	4.1341161728	2.148363948	1.941480696	6.529619545	0	0	322.2487
Kvon2014_chr3L_17003868_17006065	on	A	Ectoderm	on	off	off	on	off	off	1224.3	10.25	5.06	0.813	0.3195	0.933	0.3195	6	6	533	336	2.2382178307	0	0	2.6363277435	3.7229542732	2.061499774	2.978785298	7.547045461	0	1	29.5238
Kvon2014_chr3L_17437262_17439559	on	P	Ectoderm	off	off	on	on	off	off	533.2	3.91	0	0.582	0	0	0	2.42	0	0	244	0	0	1.8997120857	0	0	0	0.903253275	2.169392033	100.67	0	149.635
Kvon2014_chr3L_18395141_18397272	on	AC	Ectoderm/Endoderm	on	on	off	on	on	off	0	0	0	0	0	0	0	3.27	2.762707662	0	0	0	0	0	0	0	0	0.40772144	1.075633536	0	0	0
Kvon2014_chr3L_18831969_18834169	on	P	Endoderm	off	off	on	off	on	off	232.8	9.48	0	0	0	0	0	0	4.886056648	574	301	0	0	0	0	1.1425580978	0	2.13001959	3.762281567	0	1	235.162
Kvon2014_chr3L_20020757_20022022	on	A	Ectoderm/Mesoderm	on	off	off	on	off	on	69.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.532216072	0	1	0
Kvon2014_chr3L_20284267_20286431	on	A	Ectoderm/Endoderm/Mesoderm	on	off	off	on	on	on	2177.3	0	0	0	0	0	0	5.7	3.950781977	0	503	0	0	0	0	0	0.93557927	2.035288081	4.895358816	189.1	1	0
Kvon2014_chr3L_20396551_20398733	on	ACP	Mesoderm	on	on	on	off	off	on	486.9	28.41	0	0	0	0	0	12	6	652	201	3.7598619461	4.8864202499	4.5192923545	7.9996857642	2.8766145706	3.908576573	3.666163557	10.797393154	0	1	0
Kvon2014_chr3L_20688420_20690975	on	CP	Ectoderm/Mesoderm	off	on	on	on	off	on	2651	19.39	15.28	0	0	0	0	12	9.067526236	0	0	6.700129032	3.6492362022	6.6948513985	8.0429306031	4.6274380684	0.720606595	2.709759095	5.545939633	332.21	0	76.9639
Kvon2014_chr3L_20690371_20692484	on	P	Ectoderm/Mesoderm	off	off	on	on	off	on	2142.4	19.39	8.24	0	0	0	0	6	11.397940009	0	0	5.9322071074	3.6492362022	3.3236374855	8.0429306031	3.2084407806	3.403496457	2.709759095	8.228829495	496.64	0	42.6886
Kvon2014_chr3L_20691955_20694178	on	A	Endoderm/Mesoderm	on	off	off	off	on	on	161.9	0	0	0	0	0	0	6	6	0	0	4.0731048583	0	2.2336821556	8.0429306031	0	2.682889862	2.709759095	7.5082229	298.14	0	151.7965
Kvon2014_chr3L_21338946_21341219	on	A	Ectoderm/Endoderm/Mesoderm	on	off	off	on	on	on	451.9	8.21	0	0	0	0	0	6	5.522878745	430	308	2.0483384132	2.01649189	1.7529411316	2.620320797	2.8087568283	0.745611012	2.204967916	5.558293045	0	2	76.117
Kvon2014_chr3L_22175053_22177267	on	AC	Ectoderm	on	on	off	on	off	off	99.5	0	0	0	0	0	0	0	4.657577319	0	0	0	0	1.7581505775	0	0	0.552684625	0.703996266	2.345190563	0	0	0
Kvon2014_chr3L_22392640_22394735	on	P	Endoderm	off	off	on	off	on	off	2386.1	28.32	0	0	0	0	0	6	6	558	356	1.7285728455	3.0837917328	2.5265922546	5.2406597137	3.7321338654	3.595062765	4.550177843	11.327744617	0	0	292.414
Kvon2014_chr3L_22394392_22396492	on	AP	Ectoderm/Mesoderm	on	off	on	on	off	on	6593.7	28.32	8.18	0	0	0	0	12	12	558	356	4.0628848076	3.0837917328	5.5222878456	8.3136930465	6.6802816392	3.563628618	4.550177843	11.29631047	0	0	428.149
Kvon2014_chr3L_22396142_22398260	on	A	Ectoderm	on	off	off	on	off	off	6717.8	28.32	8.18	0	0	0	0	6	6	558	356	4.0628848076	3.0837917328	2.995695591	5.513305664	4.7657256127	3.563628618	3.14732343	9.893456057	0	0	428.149
Kvon2014_chr3L_2746367_2748504	on	A	Endoderm	on	off	off	off	on	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.545625001	0	0	0
Kvon2014_chr3L_429373_431516	on	A	Mesoderm	on	off	off	off	off	on	0	0	0	0	0	0	0	0	0.939910598	0	0	0	0	0	0	0	0	2.125093488	2.125093488	0	0	0
Kvon2014_chr3L_542461_544728	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	271.8	6.68	0	0	0.2425	0	0.2425	1.28	2.668370282	389	193	0	2.295996666	2.2624211311	0.8517799377	1.0013260841	0	0.893481509	3.339825593	143.66	1	0
Kvon2014_chr3L_5613364_5615475	on	AP	Ectoderm/Endoderm/Mesoderm	on	off	on	on	on	on	2994.3	16.44	4.63	1.746	1.5975	1.498	1.5975	6	6	0	382	2.5309896469	3.144695282	3.9073810577	3.8262281418	1.0612945557	2.770081632	2.23230763	7.023942582	430.815	1	0
Kvon2014_chr3L_5972676_5974783	on	AP	Endoderm/Mesoderm	on	off	on	off	on	on	76.1	4.05	0	0.549	0.7115	0	0.7115	9.99	4.148741651	0	293	0	1.8225073814	0	2.1056761742	0	0.611555308	2.836606307	5.994272918	0	0	29.5238
Kvon2014_chr3L_5974396_5976514	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	549.7	4.05	3.27	0.549	2.846	-0.267	2.846	9.99	9.847711655	0	293	0	0	0	5.7978281975	0	0	1.336554554	3.882665857	0	0	121.969
Kvon2014_chr3L_5976078_5978250	on	A	Ectoderm	on	off	off	on	off	off	549.7	4.05	3.27	0.549	2.1345	0	2.1345	7.55	5.698970004	0	0	0	0	0	3.6921520233	0	0	1.336554554	3.882665857	0	0	92.4452
Kvon2014_chr3L_8645778_8647917	on	C	Ectoderm/Mesoderm	off	on	off	on	off	on	1376.4	25.88	19.04	2.971	2.5005	0.135	2.5005	6	6	0	0	0.7320384979	3.5474784374	4.2032833099	4.3437418937	4.1838421821	0.609953668	4.605802205	6.662687011	185.875	0	306.454
Kvon2014_chr3L_8652598_8654858	on	AC	Ectoderm/Endoderm	on	on	off	on	on	off	0	0	0	0	-0.5025	0	-0.5025	0	0.938649321	0	0	0	0	0	0	1.2431473732	0	1.338009864	1.85466242	0	1	64.9375
Kvon2014_chr3L_8656203_8658330	on	C	Ectoderm/Mesoderm	off	on	off	on	off	on	676.8	18.43	14.59	0.97	3.377	0	3.377	6	3.438898616	0	0	0	3.1282205582	3.2048916817	6.4459457397	3.9445223808	0	1.806549577	3.980298525	107.295	1	0
Kvon2014_chr3L_8657952_8660041	on	CP	Ectoderm/Mesoderm	off	on	on	on	off	on	1433.6	18.43	14.59	2.897	2.8285	1.927	2.8285	6	4.698970004	0	0	3.7139849663	3.1282205582	3.2048916817	6.4459457397	3.9445223808	0.638010586	1.806549577	4.263781127	107.295	0	86.1246
Kvon2014_chr3L_8659642_8661749	on	P	Ectoderm/Mesoderm	off	off	on	on	off	on	152.7	18.43	14.59	1.927	2.8285	1.927	2.8285	6	4.698970004	0	0	3.7139849663	3.1282205582	3.2048916817	6.4459457397	3.9445223808	0.638010586	2.720111875	5.177343425	0	0	60.8045
Kvon2014_chr3L_8661294_8663516	on	AP	Ectoderm/Endoderm/Mesoderm	on	off	on	on	on	on	3514.8	30.74	5.56	2.325	4.0905	1.407	4.0905	6	4.327902142	0	385	3.4099502563	3.8205370903	3.2556886673	7.0631561279	2.7351660728	1.490307872	3.184874598	6.976991557	226.55	0	61.5249
Kvon2014_chr3L_8668725_8670845	on	ACP	Ectoderm	on	on	on	on	off	off	5923.8	13.85	4.19	0	1.42	0	1.42	10.21	4.585026652	0	0	1.3092155457	1.6773433685	0	1.8762702942	5.5567779542	1.771832197	2.128870274	6.370942682	0	0	248.5821
Kvon2014_chr3L_8672251_8674468	on	A	Ectoderm/Mesoderm	on	off	off	on	off	on	0	0	0	0	0	0	0	2.52	0	0	0	0	0	0	0	0	0	0.610113287	0.610113287	0	0	0
Kvon2014_chr3L_8822268_8824419	on	ACP	Ectoderm	on	on	on	on	off	off	3656.1	12.51	2.77	2.004	0.1635	0.603	0.1635	6	4.823908741	0	316	0	1.9667448998	3.0089197159	0.711933136	1.062669754	2.927707279	1.747398545	6.670383425	0	1	0
Kvon2014_chr3L_9796953_9797904	on	AC	Mesoderm	on	on	off	off	off	on	1403.9	6.82	0	-0.381	-0.3505	0	-0.3505	5	0.804609628	0	0	0	0	0	0	0	0	2.502215683	3.842683851	0	1	25.3201
Kvon2014_chr3L_9797330_9797598	on	C	Mesoderm	off	on	off	off	off	on	1403.9	6.82	0	-0.381	-0.3505	0	-0.3505	5	0.804609628	0	0	0	0	0	0	0	0	2.502215683	3.842683851	0	1	25.3201
Kvon2014_chr3R_10505242_10507354	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	2563.5	16.4	4.14	1.387	1.599	1.184	1.599	6	6	0	299	2.9111366272	3.1940975189	2.3533468246	2.2701301575	2.9052731991	5.094614691	7.339618966	14.686296931	307.04	0	185.198
Kvon2014_chr3R_10508753_10510847	on	A	Ectoderm	on	off	off	on	off	off	493.1	0	0	0.704	0	0.678	0	3.94	0	0	0	0	0	1.9712388515	0	2.3000898361	0	2.269766361	2.922306372	0	0	0
Kvon2014_chr3R_10542399_10544607	on	ACP	Mesoderm	on	on	on	off	off	on	166.5	12.03	0	0	0	0	0	6	6	687	396	0	1.8997616768	0	0	0	0.538151489	6.209414363	9.3882067	0	2	99.7978
Kvon2014_chr3R_10546093_10548201	on	ACP	Mesoderm	on	on	on	off	off	on	222	5.64	0	-0.355	0	0	0	0	4.823908741	0	381	0	0	0	0	0	0	3.358831346	5.999472194	0	2	58.1212
Kvon2014_chr3R_10863765_10866026	on	A	Mesoderm	on	off	off	off	off	on	0	0	0	0	0	0	0	6	3.860120914	0	0	0	0	0	0	0	0	4.089678064	4.58467363	137.815	0	0
Kvon2014_chr3R_11465500_11467714	on	P	Endoderm	off	off	on	off	on	off	0	0	0	0.305	-1.0005	0.026	-1.0005	8.82	6.988091386	0	0	0	0	0	0	0	0	3.83907924	4.254339343	0	1	187.33976
Kvon2014_chr3R_11811918_11814017	on	A	Mesoderm	on	off	off	off	off	on	1848.3	16.44	5.39	0	0	0	0	11.7	5	0	269	0	2.730717659	3.3558526039	0	7.8167512416	2.140735715	5.068835393	9.771605266	382.37	0	264.4294
Kvon2014_chr3R_12066745_12068875	on	A	Ectoderm/Mesoderm	on	off	off	on	off	on	3267.1	9.95	0	0	1.231	0	1.231	6.88	11.522878745	409	276	0	2.2881629467	0	2.2167854309	3.0270705223	0	3.928377533	7.276550734	0	1	324.891
Kvon2014_chr3R_12075311_12077425	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	5463.9	17.51	0	1.994	1.0015	1.112	1.0015	6	6	595	325	2.5473046303	2.3310937881	3.1582202911	3.0301809311	1.3988542557	0.95772617	3.901486842	8.207386213	0	1	202.1499
Kvon2014_chr3R_12076924_12079107	on	A	Ectoderm/Mesoderm	on	off	off	on	off	on	4716.1	17.51	0	1.994	1.0015	0.585	1.0015	6	6	595	325	2.5473046303	2.3310937881	3.1582202911	1.4839496613	1.3988542557	0.95772617	3.901486842	8.207386213	0	1	97.2075
Kvon2014_chr3R_12524782_12526937	on	CP	Ectoderm/Mesoderm	off	on	on	on	off	on	2545.7	21.71	0	0.307	2.351	0	2.351	6	6	1356	275	0	3.0022964478	0	3.8892707825	3.2358667851	0.93386263	4.753378748	8.822818608	181.255	1	161.373
Kvon2014_chr3R_12526519_12528610	on	CP	Ectoderm/Endoderm/Mesoderm	off	on	on	on	on	on	2890.1	32.4	3.9	0.56	2.933	0.415	2.933	12	9.869666232	1356	627	0	3.0022964478	0	3.8892707825	6.2166988851	1.762528006	4.753378748	9.651483984	388.715	1	256.2573
Kvon2014_chr3R_12617439_12619540	on	CP	Ectoderm/Mesoderm	off	on	on	on	off	on	266	8.17	0	0	0	0	0	6	1.40162539	0	0	0	1.4274950027	0	2.5870404244	0.8944673538	0.884987354	1.101326897	2.588238839	194.47	0	0
Kvon2014_chr3R_12635558_12637851	on	CP	Ectoderm/Mesoderm	off	on	on	on	off	on	3465	14.61	4.45	1.266	1.8745	0	1.8745	9.05	3.872895202	0	319	0	2.6542510986	2.5025939941	2.8225421905	3.7796106338	1.085773528	4.115403906	8.185964517	0	0	463.7931
Kvon2014_chr3R_12646484_12648595	on	P	Ectoderm/Mesoderm	off	off	on	on	off	on	1195.6	11.44	2.85	1.469	2.6225	0	2.6225	6	6	0	348	0	3.2633485794	2.6802139282	4.3396677971	1.9124670029	0	4.452680195	5.742720997	0	1	32.59596
Kvon2014_chr3R_12664710_12666865	on	CP	Ectoderm/Mesoderm	off	on	on	on	off	on	649.9	17.75	0	1.331	2.2175	-0.119	2.2175	6	5.397940009	0	0	0	3.2197580338	2.9606294632	4.10028553	1.1119847298	0.699566722	5.485915959	7.763291985	138.53	1	168.377
Kvon2014_chr3R_12673667_12675768	on	CP	Ectoderm/Mesoderm	off	on	on	on	off	on	632.2	13.7	0	0.797	1.2985	0	1.2985	4.79	3.021819483	0	280	0	2.7144141197	2.223377943	2.6624443531	2.3374700546	0	2.796712539	5.273410966	0	1	135.1676
Kvon2014_chr3R_12716036_12718170	on	CP	Ectoderm/Endoderm/Mesoderm	off	on	on	on	on	on	553.2	21.34	5.32	0.509	1.7625	0	1.7625	6	6	0	0	0	3.3990535736	1.7626962662	3.6835465431	0.8233356476	0.645421926	5.667752154	8.269090569	143.835	1	157.414
Kvon2014_chr3R_12717726_12719854	on	P	Ectoderm/Mesoderm	off	off	on	on	off	on	553.2	21.34	5.32	0.509	1.7625	0	1.7625	6	9.080921908	0	0	0	3.3990535736	1.7626962662	3.6835465431	0.8233356476	0.645421926	5.667752154	8.269090569	143.835	1	213.7654
Kvon2014_chr3R_12726430_12728642	on	P	Ectoderm/Mesoderm	off	off	on	on	off	on	147	11.14	4.51	1.059	1.4335	0	1.4335	0	0	0	0	0	2.1077923775	0	2.8489632606	0	0	2.039192259	4.490646481	0	0	30.9494
Kvon2014_chr3R_12747382_12749489	on	P	Ectoderm/Mesoderm	off	off	on	on	off	on	1407.3	23.85	10.53	2.5	1.0815	1.361	1.0815	6	6	0	236	1.271343708	4.6415529251	3.5898003578	2.1090216636	4.4110269546	0	6.215073525	8.771819144	158.595	0	45.809
Kvon2014_chr3R_12776398_12778564	on	P	Ectoderm/Mesoderm	off	off	on	on	off	on	207.1	13.32	3.74	0.493	0.3275	0	0.3275	0.49	10.920818754	0	0	0	2.4215297699	0	0	0	0	2.219429125	3.564719434	0	0	61.4375
Kvon2014_chr3R_12783420_12785609	on	P	Ectoderm/Mesoderm	off	off	on	on	off	on	101.3	9.44	0	0	0.0805	0	0.0805	0	0	0	492	0	0	0	0	0	0	3.880474006	6.606224144	140.115	0	76.6387
Kvon2014_chr3R_15140147_15142388	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	3069.2	7.16	0	0.049	1.6885	0.144	1.6885	5.7	0	699	301	0	1.4782805443	0	2.9604716301	0	0	1.492019345	2.779466152	0	1	11.9501
Kvon2014_chr3R_15155570_15157698	on	ACP	Mesoderm	on	on	on	off	off	on	1841.5	12.99	0	0	0	0	0	12	6	518	358	0	2.1608858109	2.9396800995	5.9895191193	0	2.773138299	4.452455193	8.875718805	121.955	0	256.711
Kvon2014_chr3R_15157311_15159508	on	ACP	Ectoderm/Endoderm	on	on	on	on	on	off	2380.4	12.99	0	0	0	0	0	6	6	518	358	0	2.1608858109	2.9396800995	2.568420887	0.8565664291	1.765652376	4.452455193	7.868232882	0	0	203.6254
Kvon2014_chr3R_15159101_15161276	on	P	Endoderm	off	off	on	off	on	off	354.1	0	0	0	0	0	0	1.1	2.115487841	518	679	0	3.3222904205	2.0480952263	2.2076134682	2.0409135819	1.23339476	8.370931043	12.35683279	138.745	0	64.0064
Kvon2014_chr3R_15160880_15162972	on	P	Endoderm	off	off	on	off	on	off	354.1	0	0	0	0	0	0	1.1	2.115487841	0	321	0	3.3222904205	2.0480952263	2.2076134682	2.0409135819	0.617332882	3.91847585	5.638190406	138.745	0	64.0064
Kvon2014_chr3R_15166068_15168266	on	CP	Ectoderm	off	on	on	on	off	off	1141.3	11.63	5.76	0.052	1.2215	0.437	1.2215	6	11.698970004	506	256	0.8041667938	2.0665414333	3.5779008865	2.6398582459	3.3531565666	4.157012582	5.722687483	11.772462905	200.595	0	462.768
Kvon2014_chr3R_1546647_1548740	on	A	Ectoderm	on	off	off	on	off	off	589.8	7.49	0	0.958	-0.6275	0	-0.6275	6	0	0	0	0.7800745964	0	2.2001962662	0.8589735031	4.8659524917	0.949901407	3.222389325	4.172290732	0	1	27.4524
Kvon2014_chr3R_15873091_15875315	on	P	Endoderm	off	off	on	off	on	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.540390748	0.540390748	0	0	0
Kvon2014_chr3R_16540229_16542746	on	A	Endoderm	on	off	off	off	on	off	0	0	0	0	0	0	0	0	5.397940009	0	0	0	0	0	0	0	0	1.231723935	1.876042544	0	0	51.3743
Kvon2014_chr3R_16776112_16778334	on	A	Ectoderm	on	off	off	on	off	off	1336.3	0	0	0	0	0	0	0	1.446638926	0	568	2.0137963295	1.8584356308	2.541809082	0	0	0	1.388868014	2.835838869	0	1	0
Kvon2014_chr3R_17201451_17203140	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	127	5.66	0	0	0	0	0	0	3.514278574	397	252	0	1.6322646141	0	1.52542305	2.927873373	0	3.555805638	6.117614785	173.085	0	108.2098
Kvon2014_chr3R_17466334_17468421	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	4698.5	18.69	4.29	1.387	0	0.494	0	8.99	8.316592701	618	367	0	2.1948308945	2.172180891	2.9821918011	2.5807929039	0.638834447	4.910456601	8.571814419	599.335	0	68.87422
Kvon2014_chr3R_17469856_17471988	on	A	Ectoderm	on	off	off	on	off	off	2262.5	0	0	0	0	0	0	5.7	6	618	367	2.2442359924	2.2197947502	2.8343997002	2.6196928024	4.4641942978	0.779662413	4.910456601	8.712642385	165.695	0	49.8725
Kvon2014_chr3R_177099_179292	on	A	Ectoderm	on	off	off	on	off	off	71.5	9.81	0	0.752	0	0.667	0	1.04	5.045757491	0	0	2.1231350899	0	2.4123439789	0.6927623749	2.4167385101	0	1.90516935	2.647189929	0	0	16.3583
Kvon2014_chr3R_17959570_17961726	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	284.3	11.47	3.24	0.511	0.69	0.848	0.69	6	6	248	251	1.5984025001	1.7844142914	1.7166600227	3.3386545182	1.0510287285	0.624578381	4.499727446	7.884825416	132.37	1	96.7684
